Index,Formula,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
79,KCaI_3,2.53,4,0,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.51E+00,1.03E+03,3.37E+02,8.60E-01,3.91E+01,4.84E+01,4.19E+02,2.33E+00,7.69E+01,8.20E-01,1.90E+01,4.00E+00,1.00E+00,1.76E+03,1.11E+03,1.55E+00,4.01E+01,-1.56E+02,5.90E+02,8.53E+00,1.55E+02,1.00E+00,2.00E+01,4.00E+00,2.20E+00,4.58E+02,3.87E+02,4.93E+00,1.27E+02,2.95E+02,1.01E+03,7.76E+00,2.09E+01,2.66E+00,5.30E+01,5.00E+00
361,KCaI_1.875Br_1.125,2.64,4.07,0,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.77E-01,6.27E-01,1.51E+00,1.03E+03,3.37E+02,8.60E-01,3.91E+01,4.84E+01,4.19E+02,2.33E+00,7.69E+01,8.20E-01,1.90E+01,4.00E+00,1.00E+00,1.76E+03,1.11E+03,1.55E+00,4.01E+01,-1.56E+02,5.90E+02,8.53E+00,1.55E+02,1.00E+00,2.00E+01,4.00E+00,2.11E+00,4.10E+02,3.41E+02,4.25E+00,1.09E+02,3.06E+02,1.06E+03,6.83E+00,1.86E+01,2.77E+00,4.63E+01,4.63E+00
324,FACa_0.5Ge_0.5Br_3,-0.79,4.12,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,5.00E-01,0.00E+00,0.00E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,2.53E+00,3.19E+02,3.54E+02,1.10E+00,4.51E+01,8.60E+00,8.49E+02,6.50E+00,2.90E+01,2.57E+00,9.10E+01,8.00E+00,9.35E-01,2.43E+03,1.16E+03,3.44E+00,5.63E+01,-1.80E+01,6.76E+02,2.02E+01,2.44E+02,1.50E+00,2.60E+01,4.00E+00,1.96E+00,3.32E+02,2.66E+02,3.12E+00,7.99E+01,3.25E+02,1.14E+03,5.29E+00,1.47E+01,2.96E+00,3.50E+01,4.00E+00
257,RbCa_0.375Ba_0.25Ge_0.375Cl_3,0.21,4.26,0,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,3.75E-01,0.00E+00,2.50E-01,3.75E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.61E+00,9.61E+02,3.13E+02,1.53E+00,8.55E+01,4.69E+01,4.03E+02,2.34E+00,6.92E+01,8.20E-01,3.70E+01,5.00E+00,1.06E+00,2.34E+03,1.12E+03,3.47E+00,7.66E+01,-2.65E+01,6.33E+02,1.71E+01,2.18E+02,1.35E+00,3.35E+01,4.50E+00,1.81E+00,2.39E+02,1.72E+02,3.21E+00,3.55E+01,3.49E+02,1.25E+03,3.21E+00,1.02E+01,3.16E+00,1.70E+01,3.00E+00
290,RbCa_0.125Sr_0.875I_3,2.03,4.07,0,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,1.25E-01,8.75E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.61E+00,9.61E+02,3.13E+02,1.53E+00,8.55E+01,4.69E+01,4.03E+02,2.34E+00,6.92E+01,8.20E-01,3.70E+01,5.00E+00,1.23E+00,1.67E+03,1.05E+03,2.42E+00,8.17E+01,-1.67E+02,5.55E+02,8.24E+00,1.39E+02,9.56E-01,3.58E+01,4.88E+00,2.20E+00,4.58E+02,3.87E+02,4.93E+00,1.27E+02,2.95E+02,1.01E+03,7.76E+00,2.09E+01,2.66E+00,5.30E+01,5.00E+00
413,KSrI_1.5Br_1.5,2.76,4.1,0,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E-01,5.00E-01,1.51E+00,1.03E+03,3.37E+02,8.60E-01,3.91E+01,4.84E+01,4.19E+02,2.33E+00,7.69E+01,8.20E-01,1.90E+01,4.00E+00,1.26E+00,1.66E+03,1.04E+03,2.54E+00,8.76E+01,-1.68E+02,5.50E+02,8.20E+00,1.37E+02,9.50E-01,3.80E+01,5.00E+00,2.08E+00,3.95E+02,3.26E+02,4.03E+00,1.03E+02,3.10E+02,1.07E+03,6.52E+00,1.78E+01,2.81E+00,4.40E+01,4.50E+00
58,RbSrI_3,2.02,4.08,0,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.61E+00,9.61E+02,3.13E+02,1.53E+00,8.55E+01,4.69E+01,4.03E+02,2.34E+00,6.92E+01,8.20E-01,3.70E+01,5.00E+00,1.26E+00,1.66E+03,1.04E+03,2.54E+00,8.76E+01,-1.68E+02,5.50E+02,8.20E+00,1.37E+02,9.50E-01,3.80E+01,5.00E+00,2.20E+00,4.58E+02,3.87E+02,4.93E+00,1.27E+02,2.95E+02,1.01E+03,7.76E+00,2.09E+01,2.66E+00,5.30E+01,5.00E+00
379,RbGeBr_1.125Cl_1.875,-0.07,1.34,0.13,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,6.27E-01,3.77E-01,0.00E+00,1.61E+00,9.61E+02,3.13E+02,1.53E+00,8.55E+01,4.69E+01,4.03E+02,2.34E+00,6.92E+01,8.20E-01,3.70E+01,5.00E+00,8.70E-01,3.11E+03,1.21E+03,5.32E+00,7.26E+01,1.20E+02,7.62E+02,3.18E+01,3.34E+02,2.01E+00,3.20E+01,4.00E+00,1.87E+00,2.74E+02,2.07E+02,3.18E+00,5.21E+01,3.40E+02,1.21E+03,3.99E+00,1.19E+01,3.08E+00,2.38E+01,3.38E+00
409,MASnBr_0.375Cl_2.625,-0.3,2.76,0.04,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,8.77E-01,1.25E-01,0.00E+00,2.17E+00,2.67E+02,1.81E+02,7.00E-01,3.21E+01,8.68E+00,9.26E+02,6.13E+00,2.39E+01,2.55E+00,7.30E+01,7.00E+00,1.15E+00,2.88E+03,5.05E+02,7.31E+00,1.19E+02,1.21E+02,7.09E+02,7.20E+00,2.90E+02,1.96E+00,5.00E+01,5.00E+00,1.83E+00,2.51E+02,1.84E+02,3.20E+00,4.10E+01,3.46E+02,1.24E+03,3.47E+00,1.08E+01,3.13E+00,1.93E+01,3.13E+00
127,K_0.125Cs_0.875BaI_3,0.01,4.15,0,1.25E-01,0.00E+00,8.75E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.71E+00,9.55E+02,3.06E+02,1.74E+00,1.21E+02,4.58E+01,3.81E+02,2.12E+00,6.89E+01,7.94E-01,5.05E+01,5.75E+00,1.42E+00,2.08E+03,1.00E+03,3.59E+00,1.37E+02,-5.20E+01,5.03E+02,8.01E+00,1.40E+02,8.90E-01,5.60E+01,6.00E+00,2.20E+00,4.58E+02,3.87E+02,4.93E+00,1.27E+02,2.95E+02,1.01E+03,7.76E+00,2.09E+01,2.66E+00,5.30E+01,5.00E+00
